ID,Company_Name,Industry_Vertical,Sub_Category,City,State,Estimated_Employees,Estimated_Revenue_Range,AI_Automation_Use_Case,Estimated_Deal_Size,Decision_Maker_Title,Website,Priority_Score,Notes
648,DreamBox Learning,Education / EdTech,K-12 Math,Bellevue,WA,300,$50M-$100M,Adaptive learning AI,$8K-$15K,Chief Technology Officer,www.dreambox.com,3,AI math learning platform
649,Newsela,Education / EdTech,K-12 Content,New York,NY,500,$50M-$100M,Content personalization AI,$8K-$20K,CTO,www.newsela.com,3,Adaptive reading platform
650,Blackboard (Anthology),Education / EdTech,LMS,Boca Raton,FL,4000,$500M-$1B,Student engagement AI,$15K-$30K,Chief Technology Officer,www.anthology.com,4,Higher ed technology suite
651,PowerSchool,Education / EdTech,K-12 SIS,Folsom,CA,3000,$500M-$1B,Enrollment AI,$10K-$25K,CTO,www.powerschool.com,4,K-12 education technology
652,Cengage Group,Education / EdTech,Higher Ed Content,Boston,MA,5000,$1B+,Content generation AI,$15K-$30K,Chief Technology Officer,www.cengage.com,4,Digital learning resources
653,McGraw Hill,Education / EdTech,Educational Content,New York,NY,4000,$1B+,Adaptive learning AI,$15K-$30K,CTO,www.mheducation.com,4,ALEKS AI platform
654,Pearson,Education / EdTech,Educational Content,Hoboken,NJ,20000,$5B+,Student engagement AI,$25K-$50K,Chief Technology Officer,www.pearson.com,5,NYSE listed; global education
655,2U / edX,Education / EdTech,Online Degree,Lanham,MD,3000,$500M-$1B,Enrollment optimization AI,$10K-$25K,CTO,www.2u.com,4,University partnerships
656,Clever,Education / EdTech,K-12 Platform,San Francisco,CA,200,$25M-$50M,Student data AI,$5K-$15K,Chief Technology Officer,www.clever.com,3,SSO for schools; 100K+ schools
657,Schoology (PowerSchool),Education / EdTech,LMS,New York,NY,500,$50M-$100M,Grading automation AI,$8K-$15K,VP of Product,www.schoology.com,3,K-12 LMS platform
658,Remind,Education / EdTech,Communication,San Francisco,CA,200,$25M-$50M,Parent engagement AI,$5K-$12K,CTO,www.remind.com,2,School communication app
659,ClassDojo,Education / EdTech,Communication,San Francisco,CA,100,$25M-$50M,Student engagement AI,$5K-$12K,Chief Technology Officer,www.classdojo.com,2,K-8 communication platform
660,Brightspace (D2L),Education / EdTech,LMS,Kitchener,ON,1000,$200M-$500M,Grading automation AI,$10K-$20K,CTO,www.d2l.com,3,Higher ed + K-12 LMS
661,MasterClass,Education / EdTech,Online Learning,San Francisco,CA,500,$200M-$500M,Content recommendation AI,$10K-$20K,Chief Technology Officer,www.masterclass.com,4,Celebrity-taught courses
662,Udemy Business,Education / EdTech,Corporate Learning,San Francisco,CA,1500,$500M-$1B,Learning path AI,$10K-$25K,CTO,www.udemy.com,4,NASDAQ listed; corporate training
663,Pluralsight,Education / EdTech,Tech Learning,Draper,UT,1500,$200M-$500M,Skill assessment AI,$10K-$20K,Chief Technology Officer,www.pluralsight.com,4,Tech skills platform
664,Skillshare,Education / EdTech,Creative Learning,New York,NY,200,$50M-$100M,Content recommendation AI,$5K-$15K,CTO,www.skillshare.com,3,Creative learning community
665,Kahoot!,Education / EdTech,Gamified Learning,Austin,TX,500,$100M-$200M,Student engagement AI,$8K-$15K,Chief Technology Officer,www.kahoot.com,3,Gamified learning platform
666,Litmos (SAP),Education / EdTech,Corporate LMS,San Carlos,CA,300,$50M-$100M,Learning analytics AI,$8K-$15K,VP of Product,www.litmos.com,3,Corporate training LMS
667,Guild Education,Education / EdTech,Employer Education,Denver,CO,2000,$200M-$500M,Enrollment AI,$10K-$25K,CTO,www.guild.com,4,Employer education benefits
668,Handshake,Education / EdTech,Career Platform,San Francisco,CA,800,$100M-$200M,Job matching AI,$8K-$20K,Chief Technology Officer,www.joinhandshake.com,3,College career platform
669,Degreed,Education / EdTech,Skills Platform,Pleasanton,CA,500,$50M-$100M,Skill assessment AI,$8K-$15K,CTO,www.degreed.com,3,Workforce upskilling
670,Niche,Education / EdTech,School Search,Pittsburgh,PA,200,$25M-$50M,Enrollment optimization AI,$5K-$15K,VP of Product,www.niche.com,3,School rankings/reviews
671,GoGuardian,Education / EdTech,K-12 Safety,Los Angeles,CA,500,$100M-$200M,Student safety AI,$8K-$20K,Chief Technology Officer,www.goguardian.com,3,Student safety/engagement
672,Nearpod (Renaissance),Education / EdTech,Interactive Learning,Fort Lauderdale,FL,300,$50M-$100M,Student engagement AI,$5K-$15K,VP of Product,www.nearpod.com,3,Interactive lessons; Renaissance sub
673,Age of Learning,Education / EdTech,Early Learning,Glendale,CA,500,$100M-$200M,Adaptive learning AI,$8K-$15K,CTO,www.ageoflearning.com,3,ABCmouse platform
674,IXL Learning,Education / EdTech,K-12 Practice,San Mateo,CA,400,$100M-$200M,Adaptive assessment AI,$8K-$15K,Chief Technology Officer,www.ixl.com,3,K-12 practice platform
675,BetterUp,Education / EdTech,Coaching Platform,San Francisco,CA,1000,$200M-$500M,Coaching match AI,$10K-$25K,CTO,www.betterup.com,4,Digital coaching platform
676,Quizlet,Education / EdTech,Study Tools,San Francisco,CA,300,$100M-$200M,Study recommendation AI,$8K-$15K,Chief Technology Officer,www.quizlet.com,3,AI-powered study tools
677,Crimson Education,Education / EdTech,College Admissions,New York,NY,3000,$100M-$200M,Application review AI,$8K-$20K,CTO,www.crimsoneducation.org,3,Global admissions consulting
678,Articulate,Education / EdTech,Course Creation,New York,NY,500,$200M-$500M,Content generation AI,$10K-$20K,Chief Technology Officer,www.articulate.com,4,eLearning authoring tools
679,Docebo,Education / EdTech,Corporate LMS,Athens,GA,900,$200M-$500M,Learning path AI,$10K-$20K,CTO,www.docebo.com,4,NASDAQ listed; AI-powered LMS
680,Emeritus,Education / EdTech,Exec Education,Boston,MA,2000,$200M-$500M,Enrollment optimization AI,$10K-$25K,Chief Technology Officer,www.emeritus.org,4,University partnership platform
681,Banfield Pet Hospital,Veterinary / Pet Services,General Vet,Vancouver,WA,16000,$1B+,Appointment scheduling AI,$20K-$40K,Chief Technology Officer,www.banfield.com,5,Mars subsidiary; 1000 hospitals
682,VCA Animal Hospitals,Veterinary / Pet Services,General Vet,Los Angeles,CA,25000,$1B+,Pet health records AI,$25K-$50K,CTO,www.vcahospitals.com,5,Mars subsidiary; 900+ hospitals
683,BluePearl Pet Hospital,Veterinary / Pet Services,Specialty/Emergency,Tampa,FL,7000,$500M-$1B,Follow-up automation AI,$15K-$30K,VP of Technology,www.bluepearlvet.com,4,Mars subsidiary; 100+ hospitals
684,VetCor,Veterinary / Pet Services,General Vet,Norfolk,VA,8000,$500M-$1B,Appointment scheduling AI,$15K-$30K,Director of Technology,www.vetcor.com,4,800+ practices
685,National Veterinary Associates,Veterinary / Pet Services,Multi-Specialty,Agoura Hills,CA,10000,$1B+,Pet records AI,$20K-$40K,Chief Technology Officer,www.nva.com,5,JAB Investors backed
686,Thrive Pet Healthcare,Veterinary / Pet Services,General Vet,Austin,TX,6000,$500M-$1B,Follow-up automation,$10K-$25K,CTO,www.thrivepetcare.com,4,Petco partnership history
687,MedVet,Veterinary / Pet Services,Specialty/Emergency,Columbus,OH,3000,$200M-$500M,Appointment scheduling AI,$10K-$25K,VP of Technology,www.medvet.com,4,Vet-owned; specialty focus
688,Pathway Vet Alliance,Veterinary / Pet Services,General Vet,Austin,TX,4000,$200M-$500M,Pet health records AI,$10K-$20K,Director of IT,www.pathwayvetalliance.com,3,TSG Consumer Partners backed
689,Ethos Veterinary Health,Veterinary / Pet Services,Specialty,Woburn,MA,5000,$500M-$1B,Clinical AI support,$15K-$30K,Chief Technology Officer,www.ethosvet.com,4,NVA subsidiary; specialty focus
690,PetVet Care Centers,Veterinary / Pet Services,General Vet,Westport,CT,6000,$500M-$1B,Scheduling automation AI,$10K-$25K,VP of Technology,www.petvetcarecenters.com,4,KKR backed; 450+ hospitals
691,Destination Pet,Veterinary / Pet Services,Full-Service Pet,Highlands Ranch,CO,3000,$100M-$200M,Follow-up automation,$8K-$20K,Director of Technology,www.destinationpet.com,3,Vet + boarding + grooming
692,VIP Petcare,Veterinary / Pet Services,Affordable Vet,Windsor,CA,1000,$50M-$100M,Appointment scheduling AI,$5K-$15K,VP of Operations,www.vippetcare.com,3,Retail-based vet clinics
693,Southern Veterinary Partners,Veterinary / Pet Services,General Vet,Birmingham,AL,5000,$500M-$1B,Pet records AI,$10K-$25K,Chief Technology Officer,www.southernvetpartners.com,4,SE focused; 400+ hospitals
694,Heart + Paw,Veterinary / Pet Services,Full-Service Pet,Newtown Square,PA,1000,$50M-$100M,Customer engagement AI,$5K-$15K,CTO,www.heartandpaw.com,3,Vet + grooming + daycare
695,PetSuites,Veterinary / Pet Services,Boarding/Daycare,Delaware,OH,500,$25M-$50M,Scheduling AI,$5K-$12K,Director of Operations,www.petsuites.com,2,NVA subsidiary
696,Camp Bow Wow,Veterinary / Pet Services,Dog Daycare,Broomfield,CO,3000,$100M-$200M,Follow-up automation,$5K-$15K,VP of Technology,www.campbowwow.com,3,200+ franchise locations
697,Dogtopia,Veterinary / Pet Services,Dog Daycare,Phoenix,AZ,2500,$50M-$100M,Scheduling AI,$5K-$15K,Director of Technology,www.dogtopia.com,3,200+ franchise locations
698,PetSmart (Vetco),Veterinary / Pet Services,Retail Vet,Phoenix,AZ,55000,$5B+,Appointment scheduling AI,$25K-$50K,Chief Technology Officer,www.petsmart.com,5,1650+ retail stores
699,Petco,Veterinary / Pet Services,Retail/Vet,San Diego,CA,28000,$5B+,Pet health AI,$25K-$50K,CTO,www.petco.com,5,NASDAQ listed; 1500+ locations
700,Fuzzy Pet Health,Veterinary / Pet Services,Telehealth Vet,San Francisco,CA,100,$10M-$25M,Virtual triage AI,$5K-$12K,Chief Technology Officer,www.fuzzy.com,3,Digital-first vet care
701,Vetster,Veterinary / Pet Services,Vet Telehealth,Toronto,ON,100,$10M-$25M,Appointment scheduling AI,$5K-$12K,CTO,www.vetster.com,3,Online vet appointment platform
702,Dutch Pet,Veterinary / Pet Services,Vet Telehealth,New York,NY,50,$5M-$10M,Follow-up automation AI,$5K-$10K,Director of Technology,www.dutch.com,2,DTC pet telehealth
703,Wisdom Panel (Mars),Veterinary / Pet Services,Pet Genetics,Portland,OR,200,$50M-$100M,Data analytics AI,$5K-$15K,VP of Technology,www.wisdompanel.com,3,Mars subsidiary; DNA testing
704,Wag!,Veterinary / Pet Services,Pet Services Platform,San Francisco,CA,300,$50M-$100M,Matching AI,$5K-$15K,CTO,www.wag.com,3,Pet walking/sitting platform
705,Rover,Veterinary / Pet Services,Pet Services Platform,Seattle,WA,500,$200M-$500M,Matching AI,$8K-$20K,Chief Technology Officer,www.rover.com,4,Pet care marketplace
706,Bond Vet,Veterinary / Pet Services,Modern Vet,New York,NY,400,$25M-$50M,Appointment scheduling AI,$5K-$15K,CTO,www.bondvet.com,3,Urban vet clinics
707,Modern Animal,Veterinary / Pet Services,Tech-Forward Vet,Los Angeles,CA,200,$10M-$25M,Pet health records AI,$5K-$15K,Chief Technology Officer,www.modernanimal.com,3,Tech-first vet clinics
708,Rarebreed Veterinary Partners,Veterinary / Pet Services,General Vet,Fairfield,CT,2000,$100M-$200M,Follow-up automation AI,$8K-$20K,VP of Technology,www.rarebreedvet.com,3,Growing vet platform
709,Community Veterinary Partners,Veterinary / Pet Services,General Vet,Boston,MA,1500,$100M-$200M,Appointment scheduling AI,$8K-$15K,Director of IT,www.communityvetpartners.com,3,Northeast focused
710,Galaxy Vets,Veterinary / Pet Services,General Vet,West Palm Beach,FL,1000,$50M-$100M,Pet records AI,$5K-$15K,CTO,www.galaxyvets.com,3,Vet-led platform
711,Mission Veterinary Partners,Veterinary / Pet Services,General Vet,Farmington Hills,MI,3000,$200M-$500M,Follow-up automation,$8K-$20K,Chief Technology Officer,www.missionvetpartners.com,4,Midwest focused; 300+ hospitals
712,Lap of Love,Veterinary / Pet Services,End-of-Life Vet,Tampa,FL,300,$25M-$50M,Scheduling AI,$5K-$12K,Director of Technology,www.lapoflove.com,2,In-home hospice/euthanasia
713,Bingle Vet Clinics,Veterinary / Pet Services,Franchise Vet,Houston,TX,200,$10M-$25M,Appointment scheduling AI,$5K-$12K,VP of Franchise,www.binglevetclinics.com,2,Franchise vet model
714,AZPetVet,Veterinary / Pet Services,General Vet,Phoenix,AZ,600,$25M-$50M,Pet health records AI,$5K-$12K,Director of Operations,www.azpetvet.com,2,Arizona vet network
715,Compassion-First Pet Hospitals,Veterinary / Pet Services,Specialty Vet,Manchester,NH,2000,$200M-$500M,Follow-up automation,$8K-$20K,VP of Technology,www.compassionfirstpets.com,3,NVA/JAB backed
716,Veterinary Emergency Group,Veterinary / Pet Services,Emergency Vet,White Plains,NY,2000,$100M-$200M,Patient triage AI,$8K-$20K,Chief Technology Officer,www.veterinaryemergencygroup.com,3,Fast-growing ER vet
717,Cvet (Covetrus),Veterinary / Pet Services,Vet Tech/Distribution,Portland,ME,5000,$1B+,Practice management AI,$15K-$30K,CTO,www.covetrus.com,4,Vet tech platform
718,IDEXX Laboratories,Veterinary / Pet Services,Vet Diagnostics,Westbrook,ME,11000,$1B+,Diagnostic AI,$20K-$40K,Chief Technology Officer,www.idexx.com,5,NASDAQ listed; vet diagnostics leader
719,Zoetis,Veterinary / Pet Services,Animal Health,Parsippany,NJ,13000,$5B+,Data analytics AI,$25K-$50K,VP of Digital,www.zoetis.com,5,NYSE listed; animal pharma leader
720,Elanco Animal Health,Veterinary / Pet Services,Animal Health,Greenfield,IN,9000,$1B+,Data analytics AI,$15K-$30K,Chief Technology Officer,www.elanco.com,4,NYSE listed; animal health
721,Heartland Dental,Dental (DSO),Large DSO,Effingham,IL,20000,$1B+,Patient scheduling AI,$25K-$50K,Chief Technology Officer,www.heartland.com,5,Largest DSO; 1800+ practices
722,Aspen Dental (TAG),Dental (DSO),Large DSO,Chicago,IL,18000,$1B+,Treatment plan AI,$25K-$50K,CTO,www.aspendental.com,5,1100+ practices; 45 states
723,PDS Health,Dental (DSO),Large DSO,Irvine,CA,15000,$1B+,Billing automation AI,$20K-$40K,Chief Technology Officer,www.pdshealth.com,5,1000+ practices; 24 states
724,MB2 Dental,Dental (DSO),Partnership DSO,Dallas,TX,5000,$500M-$1B,Patient scheduling AI,$15K-$30K,VP of Technology,www.mb2dental.com,4,750+ practices; 35+ states
725,Sonrava Health,Dental (DSO),Large DSO,San Clemente,CA,7000,$500M-$1B,Billing automation,$15K-$30K,CTO,www.sonravahealth.com,4,600 offices; Western Dental
726,Smile Doctors,Dental (DSO),Orthodontic DSO,Memphis,TN,5000,$200M-$500M,Treatment plan AI,$10K-$25K,Chief Technology Officer,www.smiledoctors.com,4,550+ practices; ortho focus
727,Dental Care Alliance,Dental (DSO),Large DSO,Sarasota,FL,5000,$500M-$1B,Patient engagement AI,$15K-$25K,VP of Technology,www.dentalcarealliance.com,4,360+ practices; 21 states
728,Benevis,Dental (DSO),Pediatric DSO,Atlanta,GA,4000,$200M-$500M,Billing automation AI,$10K-$20K,Director of IT,www.benevis.com,3,Pediatric/Medicaid focus
729,American Dental Partners,Dental (DSO),Large DSO,Wakefield,MA,3000,$200M-$500M,Scheduling AI,$10K-$20K,CTO,www.amdpi.com,3,Multi-state DSO
730,Smile Brands,Dental (DSO),Large DSO,Irvine,CA,8000,$500M-$1B,Patient scheduling AI,$15K-$30K,Chief Technology Officer,www.smilebrands.com,4,600+ offices
731,ClearChoice Dental,Dental (DSO),Implant Centers,Greenwood Village,CO,3000,$200M-$500M,Treatment plan AI,$10K-$25K,VP of Technology,www.clearchoice.com,4,TAG subsidiary; implant focus
732,Pacific Dental Services,Dental (DSO),Partnership DSO,Irvine,CA,15000,$1B+,Clinical AI tools,$20K-$40K,CTO,www.pacificdentalservices.com,5,1000+ offices; dental innovation
733,Affordable Care (Affordable Dentures),Dental (DSO),Value DSO,Kinston,NC,3000,$200M-$500M,Billing automation AI,$8K-$20K,Director of Technology,www.affordabledentures.com,3,250+ locations; denture focus
734,Great Expressions Dental,Dental (DSO),Mid-Size DSO,Southfield,MI,2500,$200M-$500M,Patient engagement AI,$8K-$20K,VP of IT,www.greatexpressions.com,3,300+ offices; 10 states
735,Mortenson Dental Partners,Dental (DSO),Mid-Size DSO,Louisville,KY,1500,$100M-$200M,Scheduling AI,$8K-$15K,Director of Technology,www.mortensondentalpartners.com,3,100+ locations
736,Specialty Dental Brands,Dental (DSO),Specialty DSO,Nashville,TN,1000,$50M-$100M,Treatment plan AI,$5K-$15K,CTO,www.specialtydentalbrands.com,3,Specialty focus; growing
737,D4C Dental Brands,Dental (DSO),Pediatric DSO,Dallas,TX,2000,$100M-$200M,Patient scheduling AI,$8K-$20K,VP of Technology,www.d4cdentalbrands.com,3,Pediatric/ortho focus
738,Sage Dental,Dental (DSO),Regional DSO,Boca Raton,FL,2000,$100M-$200M,Billing automation AI,$8K-$15K,Director of IT,www.sagedental.com,3,FL/GA focused
739,Dental One Associates,Dental (DSO),Mid-Size DSO,Dallas,TX,1500,$100M-$200M,Patient engagement AI,$8K-$15K,CTO,www.dentaloneassociates.com,3,Southwest focused
740,42 North Dental,Dental (DSO),Regional DSO,Waltham,MA,1000,$50M-$100M,Scheduling AI,$5K-$15K,Director of Technology,www.42northdental.com,3,New England focused
741,Perfect Teeth,Dental (DSO),Regional DSO,Denver,CO,1500,$50M-$100M,Patient scheduling AI,$5K-$15K,VP of Operations,www.perfectteeth.com,2,Colorado/NM focused
742,Tend,Dental (DSO),Modern Dental,New York,NY,800,$50M-$100M,Patient experience AI,$8K-$20K,Chief Technology Officer,www.hellotend.com,3,Tech-forward dental startup
743,Risas Dental,Dental (DSO),Value DSO,Phoenix,AZ,1000,$50M-$100M,Bilingual scheduling AI,$5K-$15K,Director of IT,www.risasdental.com,3,Hispanic community focus
744,Rodeo Dental,Dental (DSO),Community DSO,Fort Worth,TX,800,$25M-$50M,Patient engagement AI,$5K-$12K,Director of Technology,www.rodeodental.com,2,Texas community focused
745,Coast Dental,Dental (DSO),Regional DSO,Tampa,FL,2000,$100M-$200M,Billing automation,$8K-$15K,VP of IT,www.coastdental.com,3,Florida focused
746,Brident Dental,Dental (DSO),Value DSO,Houston,TX,1500,$100M-$200M,Scheduling AI,$5K-$15K,Director of Operations,www.brident.com,3,Texas/CA focused
747,Lightwave Dental,Dental (DSO),Partnership DSO,Minneapolis,MN,500,$25M-$50M,Patient records AI,$5K-$12K,CTO,www.lightwavepartners.com,2,Doctor-led partnership model
748,DecisionOne Dental Partners,Dental (DSO),Partnership DSO,Dallas,TX,800,$25M-$50M,Treatment plan AI,$5K-$15K,VP of Technology,www.decisiononedental.com,2,TX focused partnership
749,Marquee Dental Partners,Dental (DSO),Partnership DSO,Nashville,TN,600,$25M-$50M,Scheduling AI,$5K-$12K,Director of IT,www.marqueedental.com,2,SE partnership model
750,North American Dental Group,Dental (DSO),Mid-Size DSO,Pittsburgh,PA,2000,$100M-$200M,Patient engagement AI,$8K-$20K,Chief Technology Officer,www.nadentalgroup.com,3,14 states; 250+ locations
751,Dental365,Dental (DSO),Regional DSO,Garden City,NY,1000,$50M-$100M,Scheduling AI,$5K-$15K,Director of Technology,www.dental365.com,3,NY/NJ/CT focused
752,Jefferson Dental,Dental (DSO),Regional DSO,Dallas,TX,1500,$50M-$100M,Billing automation AI,$5K-$15K,VP of IT,www.jeffersondental.com,2,Texas focused; 70+ offices
753,Corus Orthodontists,Dental (DSO),Ortho DSO,Toronto,ON,800,$50M-$100M,Treatment plan AI,$5K-$15K,CTO,www.corusortho.com,3,US + Canada ortho network
754,OrthoSynetics,Dental (DSO),Ortho Management,Metairie,LA,500,$25M-$50M,Practice management AI,$5K-$12K,Director of Technology,www.orthosynetics.com,2,Orthodontic practice management
755,Kool Smiles (Benevis),Dental (DSO),Pediatric DSO,Atlanta,GA,2000,$100M-$200M,Scheduling AI,$5K-$15K,VP of Operations,www.mykoolsmiles.com,3,Benevis brand; pediatric
756,Imagen Dental Partners,Dental (DSO),Partnership DSO,Scottsdale,AZ,400,$10M-$25M,Patient records AI,$5K-$12K,Director of IT,www.imagendentalpartners.com,2,AZ partnership model
757,My Community Dental Centers,Dental (DSO),Nonprofit DSO,Farwell,MI,500,$25M-$50M,Scheduling AI,$5K-$10K,Director of Technology,www.mydental.org,2,Michigan nonprofit dental
